PO_BOX,STREET, CITY, STATE, ZIP, CUSTOMER ACCOUNT NUMBER, ORDER_ID, SKU, ORDER AMOUNT,TIMESTAMP
1065,CHERRY CREEK,Denver,Colorado,80206,822033,1070011142,IC299901/S,19,09/02/2013
1217,NORTHPARK CENTER,Dallas,Texas,75225,822034,1070011143,IN20100/X,149,09/03/2013
1215,THE DOMAIN,Austin,Texas,78758,822035,1070011144,IC199901/A,39,09/04/2013
1193,CROCKER PARK,Westlake,Ohio,44145,822036,1070011145,IM622000/R,529,09/05/2013
1179,SYRACUSE,Syracuse,New York,13204,822037,1070011146,IC199901/A,39,09/06/2013
1106,ORLAND SQUARE MALL,Orland Park,Illinois,60462,822038,1070011147,IP40000/Z,450,09/07/2013
1132,NORTHSHORE,Peabody,Massachusetts,19600,822039,1070011148,AT210004/Z,0,09/08/2013
1028,THE GROVE,Los Angeles,California,90036,822040,1070011149,IC299901/S,19,09/09/2013
1201,WALNUT STREET,Philadelphia,Pennsylvania,19103,822041,1070011150,IG139901/A,23,09/10/2013
1225,WILLOWBROOK MALL,Houston,Texas,77070,822042,1070011151,IM622000/R,529,09/11/2013
1037,PALO ALTO,Palo Alto,California,94301,822043,1070011152,IC199901/A,19,09/12/2013
1051,HILLSDALE,San Mateo,California,94403,822044,1070011153,IP40006/Z,549,09/13/2013
1149,THE FORUM SHOPS,Las Vegas,Nevada,89109,822045,1070011154,IM622000/R,529,09/14/2013
1002,ANCHORAGE 5TH AVENUE MALL,Anchorage,Alaska,99501,822046,1070011155,IM634033/R,329,09/15/2013
1123,BOYLSTON STREET,Boston,Massachusetts,21160,822047,1070011156,AT210004/Z,99,09/16/2013
1066,ASPEN GROVE,Littleton,Colorado,80120,822048,1070011157,IG139901/A,23,09/17/2013
1091,NORTH POINT,Alpharetta,Georgia,30022,822049,1070011158,IG139901/A,23,09/18/2013
1028,THE GROVE,Los Angeles,California,90036,822050,1070011159,IC199901/A,39,09/19/2013
1137,SOMERSET,Troy,Michigan,48084,822051,1070011160,IG139901/A,23,09/20/2013
1046,CHESTNUT STREET,San Francisco,California,94123,822052,1070011161,IA19201/S,599,09/21/2013
1140,UPTOWN,Minneapolis,Minnesota,55408,822053,1070011162,IC199901/A,19,09/22/2013
1027,CENTURY CITY,Los Angeles,California,90067,822054,1070011163,IC299901/S,19,09/23/2013
1129,DERBY STREET,Hingham,Massachusetts,20430,822055,1070011164,MM79991/A,999,09/24/2013
1214,BARTON CREEK,Austin,Texas,78746,822056,1070011165,IC199901/A,19,09/25/2013
1163,SHORT HILLS,Short Hills,New Jersey,70780,822057,1070011166,IC299901/S,19,09/26/2013
1054,THIRD STREET PROMENADE,Santa Monica,California,90401,822058,1070011167,IC199901/A,19,09/27/2013
1073,CHRISTIANA MALL,Newark,Delaware,19702,822059,1070011168,IG139901/A,23,09/28/2013
1173,FIFTH AVENUE,New York,New York,10153,822060,1070011169,IG197901/Z,19,09/29/2013
1197,WASHINGTON SQUARE,Tigard,Oregon,97223,822061,1070011170,IM634033/R,329,09/30/2013
