BUSINESS NAME, MERCHANT ID, PRIMARY ACCOUNT NUMBER, POS DATA CODE, DATETIME, EXP DATE, CURRENCY CODE, AUTH AMOUNT, TERMINAL ID, ZIP, CITY
COMPANY 13,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,0352739523287845149,0,20130312173210,0513,USD,172.34,1262434207146604,85201,Mesa
COMPANY 14,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,8052590134972701289,0,20130312173210,0314,USD,279.88,0475332198978230,83415,Idaho Falls
COMPANY 15,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,0359423816406729272,2,20130312173210,1117,USD,13.93,0356197503721097,04057,North Bridgton
COMPANY 16,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,7896845929312196858,3,20130312173210,0916,USD,200.28,9562859439056363,28303,Fayetteville
COMPANY 17,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,4189800199717202739,5,20130312173210,0313,USD,5.07,8533453518934412,26332,Bristol
COMPANY 18,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,9657218171017392748,1,20130312173210,0415,USD,12.36,7124513979990553,78767,Austin
COMPANY 19,LETW3dU8XZykO0JzYybqho6c2sLSGZseCAG,9541386883284501047,4,20130312173210,0914,USD,2770.99,8380358794348421,93450,San Ardo
COMPANY 20,ArmWLTZe4JPWv31OdGz0CKyHJ2Ujwpa1dXd,8398658609853410432,5,20130312173210,1215,USD,309.43,1235034394267885,86332,Kirkland
COMPANY 21,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,1240977266346561174,0,20130312173210,0215,USD,146.99,4119305573039319,50042,Brayton
COMPANY 22,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,4437863651672330378,5,20130312173210,1014,USD,25.92,3405072433378550,07878,Mount Tabor
COMPANY 23,ODgFVphsQmISunBKPDKDcaeLkLUhlCrWUib,5335394167601117019,0,20130312173210,0616,USD,101.30,9477900349953860,15720,Brush Valley
COMPANY 24,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,6131274268164218687,1,20130312173210,0115,USD,33.04,1472144565316973,67756,Saint Francis
COMPANY 25,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,8894283464667819801,6,20130312173210,1117,USD,2150.54,9454569383851930,50981,Des Moines
COMPANY 26,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,8548204536088359189,2,20130312173210,0313,USD,44.63,9431495281949470,11103,Astoria
COMPANY 27,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,3789256259270425576,5,20130312173210,0115,USD,208.16,7124513979990553,78767,Austin
COMPANY 28,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,8138759137164601219,2,20130312173210,1014,USD,2123.03,1262434207146604,85201,Mesa
COMPANY 29,Pi43n6LG9D64nLbj8uPFZxmGIkzUhElwo2Q,0668026210569904225,5,20130312173210,0415,USD,186.37,7671004295947738,89125,Las Vegas
COMPANY 30,z4LrXMvGSM2xmA58rYg0Xy1IKunfn8FVuHd,0125376429966914828,0,20130312173210,0213,USD,35.84,8990440421404837,31029,Forsyth
COMPANY 31,ArmWLTZe4JPWv31OdGz0CKyHJ2Ujwpa1dXd,5450769613161317630,2,20130312173210,0717,USD,49.83,8049581321371519,49560,Grand Rapids
COMPANY 32,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,8296939322437372048,3,20130312173210,0414,USD,34.47,9454569383851930,50981,Des Moines
COMPANY 33,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,3918889136364800662,5,20130312173210,0614,USD,309.10,6380663077854803,27929,Currituck
COMPANY 34,hfZitV4UZOeWPPizd9RegZwbjz0I9oboHNu,2015486357458663824,5,20130312173210,0517,USD,19.77,8078549201751588,77534,Danbury
COMPANY 35,9e11mA9Z8hnNsdd4VgavjjecSbmq0WpRMMc,8429243874929957394,5,20130312173210,0213,USD,2.46,7231152324761132,34777,Winter Garden
COMPANY 36,Hrj58wEQ0TVQrBYBVVSAZOlilRla9mRLQaK,0312394491424002704,4,20130312173210,0314,USD,15.32,8861938200615651,58343,Knox
COMPANY 37,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,7333149291263314334,6,20130312173210,0617,USD,82.99,3999172365581471,47849,Fairbanks
COMPANY 38,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,4730130458153054465,5,20130312173210,0413,USD,7.12,3393959959748003,65803,Springfield
COMPANY 39,4zuV92NBx81aChc0u175P0RcK6ytKsO2zdl,3048308542890596964,1,20130312173210,1016,USD,53.31,3628749265762783,79847,Salt Flat
COMPANY 40,kqZpQTVdMsJepPMkUyqJDF7ljSpG9yNjGjZ,9651551894791357335,2,20130312173210,1115,USD,258.05,5136266377579070,75691,Tatum
COMPANY 41,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,5938194267342091359,3,20130312173210,0415,USD,2811.14,8533453518934412,26332,Bristol
COMPANY 42,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,5378998485501538798,3,20130312173210,0417,USD,44.81,4609632865660948,76303,Wichita Falls
COMPANY 43,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,8652971396138051722,4,20130312173210,0815,USD,34.28,2894037993518040,71150,Shreveport
COMPANY 44,E77AbnHuEDObsU6Ga3umy9cYCP7foNEvKBQ,5716115163857248052,0,20130312173210,1214,USD,8.61,0302675647645710,30039,Snellville
COMPANY 45,nEZbNackgSSIraJ9LJn0oIOgLuzSwnsSGpC,1547546386811699691,3,20130312173210,0513,USD,146.98,9518544471157067,05602,Montpelier
COMPANY 46,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,2686601604331004724,0,20130312173210,0614,USD,34.81,1165252662320069,10034,New York City
COMPANY 47,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,5229351758690665299,1,20130312173210,0414,USD,4086.43,7572975653048555,62674,Palmyra
COMPANY 48,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,0744510873603387298,3,20130312173210,0515,USD,8.56,5348668176900788,59007,Bearcreek
COMPANY 49,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,4699390668339466387,1,20130312173210,1014,USD,45.26,5227152110187600,94622,Oakland
COMPANY 50,6XsmftTujy9NIxil72Yb3rtlcx380hJAuuJ,3405406970176302840,5,20130312173210,1114,USD,42.51,8982303212898589,50028,Baxter
COMPANY 51,PHBScMUZIqehw5j0iRwAt5U7TRpw27pTu48,1888190332581119392,2,20130312173210,1213,USD,23.78,1466014164586165,76443,Cross Plains
COMPANY 52,ZRM4cprzJDX3xSJW3zZAbSsvd4G2N4c0qM0,1971076095993388587,5,20130312173210,1113,USD,23.66,5193667520594742,26228,Kanawha Head
COMPANY 53,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,1089186929551926108,2,20130312173210,0816,USD,8.45,4364483589179546,73725,Capron
COMPANY 54,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,0747729403366312657,4,20130312173210,0116,USD,18.14,8977715276967672,47371,Portland
COMPANY 55,9XGDirhiN2UPnJ9w5GqmISM2QXe1Coav3Fq,4921760093372841761,0,20130312173210,0216,USD,285.55,5336541949250878,28508,Albertson
COMPANY 56,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,9675058222942257973,4,20130312173210,1017,USD,30.59,1755418835226678,22508,Locust Grove
COMPANY 57,GOCUkfrKnBkK8O1ynTgDauGDroQsA5uOOfX,4255397631422100100,5,20130312173210,1013,USD,32.41,9250926366829455,95451,Kelseyville
COMPANY 58,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,8881946349360215037,0,20130312173210,0113,USD,208.30,1179258315750200,14052,East Aurora
COMPANY 59,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,9335576527789822780,3,20130312173210,0514,USD,33.49,6580927259686090,23481,Carrsville
COMPANY 60,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,8983874762323164394,4,20130312173210,0816,USD,4.26,4965480041977707,06785,South Kent
COMPANY 61,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,6455026808184735828,6,20130312173210,0114,USD,252.52,8838153543659549,04053,Merepoint
COMPANY 62,KW6MS0k9OhaTzuS96bIKzZinoVGnIEihmU9,9353189725486436980,6,20130312173210,0313,USD,34.90,0834340158279210,19155,Philadelphia
COMPANY 63,z4WjM84pkjYYqvUUZ1qqcvq8Y3OhuYP5ovG,8406635971473910539,4,20130312173210,0313,USD,38.93,6620713476139744,51331,Arnolds Park
COMPANY 64,oQi4zjcAmkoGKHGmNvMrM2hNwqcJTzqRG1N,4791302873422395168,1,20130312173210,0413,USD,12.51,2669345474654660,56742,Oklee
COMPANY 65,s35Uj7CTVORGjLpxqrGN6XQSpyirwLvk7NT,6612953734063044356,1,20130312173210,0713,USD,412.51,5063344896966902,50640,Hansell
COMPANY 66,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,1568157690498781579,3,20130312173210,1216,USD,5.09,3405072433378550,07878,Mount Tabor
COMPANY 67,Mpc6ZXJBAqw7fOMSSj8Fnlyexx6wsDY7A4E,8834753671610225129,5,20130312173210,1116,USD,23.33,1394319725029580,12228,Albany
COMPANY 68,vYtp9dkZ5WquYyqAPQahYz6GtvT0NF92qYz,5903669696911667891,5,20130312173210,0213,USD,16.03,1125864988599550,77210,Houston
COMPANY 69,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,3061546551202141744,5,20130312173210,0315,USD,13.40,1986220584244925,94061,Redwood City
COMPANY 70,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,6310956280543898481,0,20130312173210,0817,USD,20.98,3000361962155663,60190,Winfield
COMPANY 71,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,5578399317353473515,4,20130312173210,0517,USD,40.49,7116826188355220,39194,Yazoo City
COMPANY 72,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,6035124614124893686,0,20130312173210,1013,USD,13.80,8298207485830622,29410,Charleston
COMPANY 73,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,7019750466653910184,2,20130312173210,0115,USD,40.92,3594534131211228,40017,Defoe
COMPANY 74,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,3071774081156703054,1,20130312173210,1017,USD,282.45,0663011190577329,18224,Freeland
COMPANY 75,Pi43n6LG9D64nLbj8uPFZxmGIkzUhElwo2Q,4691839623800518023,5,20130312173210,1213,USD,811.86,3514823179688054,59540,Rudyard
COMPANY 76,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,1794523490853908725,6,20130312173210,0115,USD,33.64,5227152110187600,94622,Oakland
COMPANY 77,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,3335811521531333457,6,20130312173210,0215,USD,2059.23,4364483589179546,73725,Capron
COMPANY 78,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,6545369794036391984,1,20130312173210,1113,USD,3674.94,3848046032694137,27985,Winfall
COMPANY 79,E77AbnHuEDObsU6Ga3umy9cYCP7foNEvKBQ,8794943887756726161,4,20130312173210,0515,USD,32.72,1632246779880532,59480,Stockett
COMPANY 80,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,5897931470750982161,6,20130312173210,1213,USD,69.66,1612044597539055,38365,Pickwick Dam
COMPANY 81,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,4625964810308552974,3,20130312173210,1216,USD,21.59,5002939785021202,76487,Poolville
COMPANY 82,00NhpwWZjVsWMrbCqCzUcY5VyB6Hwg9HJp7,2102576220899138069,6,20130312173210,1116,USD,15.16,4280724028025747,96749,Keaau
COMPANY 83,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,3507424421739951309,1,20130312173210,0617,USD,49.49,8076298592042797,14620,Rochester
COMPANY 84,Pi43n6LG9D64nLbj8uPFZxmGIkzUhElwo2Q,9447317305665122521,3,20130312173210,0417,USD,32.76,3514823179688054,59540,Rudyard
COMPANY 85,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,0826098475021250709,2,20130312173210,0317,USD,26.52,4171878774491555,34268,Nocatee
COMPANY 86,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,2728976368949440968,5,20130312173210,0216,USD,25.35,8076298592042797,14620,Rochester
COMPANY 87,04xRxNpmZL0CkOJEvEx6XaxKh60VSQOQ3CE,2037338558563196625,3,20130312173210,0716,USD,246.63,0344690819765102,41125,Bruin
COMPANY 88,VS5u9Wb9YVFWPs9nKGtrOqcSLrPkEDPiEXl,2616566167675053239,0,20130312173210,1016,USD,42.94,4683920789230532,68859,North Loup
COMPANY 89,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,8202577625048394653,5,20130312173210,0515,USD,328.45,1165252662320069,10034,New York City
COMPANY 90,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,0021753086770983667,2,20130312173210,0815,USD,20.81,8298207485830622,29410,Charleston
COMPANY 91,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,2347765135769107137,0,20130312173210,0215,USD,343.82,8977715276967672,47371,Portland
COMPANY 92,F5cFFDa2nr1RlYLwI76dYnucpnt65k1abvT,6238658017744234393,5,20130312173210,0715,USD,42.74,7334883033241740,49610,Acme
COMPANY 93,22UxXy2CCqTQWLJdPhKda2Hx59XX4LfRsgU,6250154539619637311,6,20130312173210,0716,USD,34.09,3232195990621396,34268,Nocatee
COMPANY 94,OFp6pKTMg26n1iiFY00M9uSqh9ZfMxMBRf1,8505489370789808712,3,20130312173210,0814,USD,28.34,5502064049082657,84742,Kanarraville
COMPANY 95,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,2039702442450245225,5,20130312173210,0613,USD,22.51,4609632865660948,76303,Wichita Falls
COMPANY 96,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,6845517281723038769,5,20130312173210,1016,USD,42.21,0788405528868545,99779,Tetlin
COMPANY 97,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,2121369604463061574,4,20130312173210,0217,USD,1766.87,8533453518934412,26332,Bristol
COMPANY 98,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,6702081698502074880,2,20130312173210,0615,USD,70.03,5227152110187600,94622,Oakland
COMPANY 99,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,0151631961573888715,3,20130312173210,1216,USD,145.17,1179258315750200,14052,East Aurora
COMPANY 100,nFEVNl0mIlBrvKiT1zat6E9EIxK5F0mTmkJ,0620129492887522257,1,20130312173210,0916,USD,111.10,5922721432280720,12144,Rensselaer
COMPANY 101,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,3147041269541653667,3,20130312173210,0713,USD,17.33,9454569383851930,50981,Des Moines
COMPANY 102,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,2427032597047161211,2,20130312173210,0716,USD,53.00,4364483589179546,73725,Capron
COMPANY 103,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,6984031025321645181,1,20130312173210,0813,USD,15.67,3000361962155663,60190,Winfield
COMPANY 104,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,3880874122542469579,4,20130312173210,0317,USD,174.14,4171878774491555,34268,Nocatee
COMPANY 105,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,1778075195159733041,6,20130312173210,1016,USD,1258.59,0788405528868545,99779,Tetlin
COMPANY 106,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,0490084328921890669,1,20130312173210,0714,USD,25.59,1612044597539055,38365,Pickwick Dam
COMPANY 107,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,0469674895868828926,5,20130312173210,0914,USD,80.14,6871027833256174,71334,Ferriday
COMPANY 108,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,1107396333713835821,0,20130312173210,1116,USD,889.54,6871027833256174,71334,Ferriday
COMPANY 109,JSqI2kH1PxvtqnEfX56bySgvmA3y0FJeErr,4354087286464259112,4,20130312173210,0813,USD,47.43,9040157092394803,78611,Burnet
COMPANY 110,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,5680697808106170901,1,20130312173210,0613,USD,406.02,6840336226865289,05036,Brookfield
COMPANY 111,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,4036448645445719880,4,20130312173210,0414,USD,21.24,8298207485830622,29410,Charleston
COMPANY 112,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,5145909014894015464,6,20130312173210,1215,USD,2.22,4609632865660948,76303,Wichita Falls
COMPANY 113,BnVN3Hjri6YIa0jT1SKhr7XCPODt6J9nBuT,4617214707183184307,5,20130312173210,0814,USD,36.48,2933318966319359,03752,Goshen
COMPANY 114,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,2702736440455481185,4,20130312173210,0617,USD,162.82,7085230264644732,23517,Norfolk
COMPANY 115,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,1186028243666266919,0,20130312173210,0917,USD,34.54,1179258315750200,14052,East Aurora
COMPANY 116,PpuUOHSu7tKQxqfyTivpobVED1DxKMloIbQ,9096995993375548101,2,20130312173210,1114,USD,42.94,0937206570707233,94706,Albany
COMPANY 117,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,1283572685342359843,0,20130312173210,0815,USD,159.93,7729610315938055,03293,Woodstock
COMPANY 118,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,2876945510225835905,3,20130312173210,0313,USD,45.89,6507191672216210,85076,Phoenix
COMPANY 119,Hrj58wEQ0TVQrBYBVVSAZOlilRla9mRLQaK,7016794967262612749,0,20130312173210,1113,USD,299.56,2742672240992579,29148,Summerton
COMPANY 120,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,1319911301439742579,6,20130312173210,0314,USD,19.26,7085230264644732,23517,Norfolk
COMPANY 121,nEZbNackgSSIraJ9LJn0oIOgLuzSwnsSGpC,7313269915608339716,3,20130312173210,1116,USD,0.89,9518544471157067,05602,Montpelier
COMPANY 122,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,2282991757934704482,3,20130312173210,0815,USD,44.10,8977715276967672,47371,Portland
COMPANY 123,nFEVNl0mIlBrvKiT1zat6E9EIxK5F0mTmkJ,9760072618184746528,0,20130312173210,1014,USD,227.38,5922721432280720,12144,Rensselaer
COMPANY 124,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,4971826285336863367,3,20130312173210,0514,USD,12.10,6609993325975971,80907,Colorado Springs
COMPANY 125,sYsPupqPitfqmd6fHGXp8KYJocr2W8PJh8e,5650012683372730613,6,20130312173210,1014,USD,23.07,6368699848919078,48862,North Star
COMPANY 126,WIrU77YOTiuMZiIo4QVXvv0rIpuVJ79ZU4K,9565488706889982026,3,20130312173210,0616,USD,21.16,5505322455184716,28503,Kinston
COMPANY 127,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,8973822314457247988,1,20130312173210,0813,USD,17.19,1165252662320069,10034,New York City
COMPANY 128,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,4381733161442825060,6,20130312173210,0417,USD,33.76,7545438610799880,19603,Reading
COMPANY 129,3M2Z5J0bPs6lPQu4kmPSSbsZ63gH3TzHYLr,8073362847889706039,4,20130312173210,0314,USD,48.73,7229642703659077,75565,Mc Leod
COMPANY 130,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,2894108614612122599,0,20130312173210,0614,USD,1.81,1320616546000297,02192,Needham
COMPANY 131,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,2971787588797058114,0,20130312173210,1117,USD,27.46,4171878774491555,34268,Nocatee
COMPANY 132,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,4607376390076381914,6,20130312173210,0114,USD,138.99,0475332198978230,83415,Idaho Falls
COMPANY 133,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,5959256031276989295,3,20130312173210,0213,USD,31.89,7729610315938055,03293,Woodstock
COMPANY 134,zZ8B8TJaP6JpSPiyv9CQsg4ElkxLW2cqIFD,8445270789927261566,3,20130312173210,0114,USD,20128.10,5430884692296303,96840,Honolulu
COMPANY 135,asBzi6WShi88RlA0XVXqeVouBcWUfiHqsHq,9164849346342544874,0,20130312173210,0716,USD,262.03,3449545366535399,65240,Centralia
COMPANY 136,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,0151162803387715242,5,20130312173210,0516,USD,49.08,3719512711069158,65401,Rolla
COMPANY 137,OFp6pKTMg26n1iiFY00M9uSqh9ZfMxMBRf1,0068823984145886228,4,20130312173210,0814,USD,134.05,5502064049082657,84742,Kanarraville
COMPANY 138,M8jl6fRuck2h0jHSBQgCwhcj7sMtvaNx04F,5934082343237359439,0,20130312173210,0114,USD,203.81,1617569739907552,35906,Rainbow City
COMPANY 139,F5cFFDa2nr1RlYLwI76dYnucpnt65k1abvT,8502149133383953256,4,20130312173210,0815,USD,34.27,5641015245445251,17518,Drumore
COMPANY 140,OFp6pKTMg26n1iiFY00M9uSqh9ZfMxMBRf1,5506187565829572329,5,20130312173210,0713,USD,9.24,5175482962726012,65083,Ulman
COMPANY 141,OFp6pKTMg26n1iiFY00M9uSqh9ZfMxMBRf1,7766157902035057565,1,20130312173210,1215,USD,196.70,5985180438915120,16950,Westfield
COMPANY 142,hc5IFxIR4Uppqmt4H6YzEIt27FAMJxPdCv6,3966786453723802833,0,20130312173210,1016,USD,198.59,9939573518154339,98029,Issaquah
COMPANY 143,3f1rHIwpOARsfcwrSl8MuL6hp6h7MSoIwjU,1378148753875569117,2,20130312173210,0614,USD,3427.02,1775049954260479,12244,Albany
COMPANY 144,EceNARbgYst6D8MWy1eL1bUjWn0yHmn4JsO,9159535872815043395,2,20130312173210,0115,USD,323.94,1179258315750200,14052,East Aurora
COMPANY 145,nFEVNl0mIlBrvKiT1zat6E9EIxK5F0mTmkJ,4992846679996183650,1,20130312173210,0914,USD,233.55,9564199321825154,18540,Scranton
COMPANY 146,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,5473516097340080901,5,20130312173210,0416,USD,7.45,1165252662320069,10034,New York City
COMPANY 147,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,9578011388432215930,1,20130312173210,0917,USD,11.09,4329139586824938,61273,Orion
COMPANY 148,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,2494188830058183064,6,20130312173210,0315,USD,99.08,4171878774491555,34268,Nocatee
COMPANY 149,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,4507992748018622772,0,20130312173210,0213,USD,179.74,6548484344251992,64144,Kansas City
COMPANY 150,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,5127786162891052114,2,20130312173210,0917,USD,30.13,7545438610799880,19603,Reading
COMPANY 151,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,0221301701727590216,2,20130312173210,0814,USD,269.04,9431495281949470,11103,Astoria
COMPANY 152,ArmWLTZe4JPWv31OdGz0CKyHJ2Ujwpa1dXd,3185521825025717193,4,20130312173210,0714,USD,14.72,2668388590818336,30620,Bethlehem
COMPANY 153,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,3434517906111912741,1,20130312173210,0815,USD,25.78,4219245862513973,14511,Mumford
COMPANY 154,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,7981531788056568467,5,20130312173210,0714,USD,145.80,7502187155856794,12042,Climax
COMPANY 155,Pi43n6LG9D64nLbj8uPFZxmGIkzUhElwo2Q,6792737832557218319,1,20130312173210,0814,USD,25.48,2579423742258675,87004,Bernalillo
COMPANY 156,AbBynOQh16narabm5eDYNHMn1fpe4oYEeaC,2039731873037910853,6,20130312173210,0814,USD,27.38,9631690200177547,61323,Dover
COMPANY 157,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,0813094746994536792,6,20130312173210,0915,USD,251.27,4219245862513973,14511,Mumford
COMPANY 158,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,6600467729524365054,5,20130312173210,0317,USD,10.94,3393959959748003,65803,Springfield
COMPANY 159,iQIiLCJt6cHprFvVXnCiORc6Payj6XRjTSB,3740496108419623736,5,20130312173210,0416,USD,30.58,5032536972004591,80749,Sedgwick
COMPANY 160,F5cFFDa2nr1RlYLwI76dYnucpnt65k1abvT,7953458152816674054,1,20130312173210,0914,USD,191.91,5641015245445251,17518,Drumore
COMPANY 161,IYuqAbAQ07NS3lZO74VGPldfAUAGKwzR2k3,9064979095973924215,0,20130312173210,0816,USD,328.60,6609993325975971,80907,Colorado Springs
COMPANY 162,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,5198237912590179659,4,20130312173210,0115,USD,219.03,9562859439056363,28303,Fayetteville
COMPANY 163,M8jl6fRuck2h0jHSBQgCwhcj7sMtvaNx04F,7929808219062461893,2,20130312173210,0516,USD,679.56,5622715809251843,47703,Evansville
